date,open,high,low,close,volume
2021-08-08,44374.68,45354.0,42812.33,43610.33,2977.230434
2021-08-09,43606.1,46740.0,43293.79,45474.1,2213.606631
2021-08-10,45463.81,46174.98,44652.99,45624.73,1513.594201
2021-08-11,45651.16,46775.48,45405.0,45603.91,1657.3512
2021-08-12,45603.79,45672.22,43800.0,45276.56,2124.586659
2021-08-13,45267.6,47911.11,45140.06,47485.85,1344.073457
2021-08-14,47485.82,48177.53,46039.08,46747.58,1477.087859
2021-08-15,46750.0,48063.64,45507.26,47426.45,1789.694345
2021-08-16,47426.45,47749.09,45250.0,46394.91,1692.403875
2021-08-17,46391.41,47165.97,44200.0,45082.78,1947.147594
2021-08-18,45075.78,46025.46,43940.12,44133.99,1449.488259
2021-08-19,44142.09,47401.35,44045.95,47100.85,1512.174513
2021-08-20,47099.06,49421.07,46713.13,48649.63,1599.208109
2021-08-21,48650.81,49830.18,48280.0,49162.91,1158.872682
2021-08-22,49150.36,50427.43,48043.66,50336.36,1256.831348
2021-08-23,50343.54,50551.66,48785.5,49498.28,954.577177
2021-08-24,49498.28,49875.73,47601.0,48017.23,1189.374031
2021-08-25,48014.12,49399.74,47131.39,47883.51,1140.927469
2021-08-26,47881.44,48057.45,46300.0,46929.71,1513.295697
2021-08-27,46926.8,49315.0,46863.45,48987.24,1004.897554
2021-08-28,48982.89,49666.66,47800.0,48187.85,775.085981
2021-08-29,48183.72,49412.15,47771.68,47894.73,754.02074
2021-08-30,47882.13,48719.9,46707.65,47070.0,1114.558906
2021-08-31,47070.69,48276.66,46539.06,47158.98,1082.846554
2021-09-01,47171.91,49900.0,47111.12,49400.24,1366.150934
2021-09-02,49396.62,50380.0,48360.0,49721.04,1327.109976
2021-09-03,49724.08,51056.86,49228.0,50345.73,1395.091498
2021-09-04,50353.24,50551.31,49404.0,49857.97,698.145572
2021-09-05,49857.97,51968.84,49483.6,51710.42,926.515447
2021-09-06,51710.42,52948.52,51018.35,52539.77,1022.978606
2021-09-07,52538.93,52746.79,42600.0,46442.54,2940.933084
2021-09-08,46458.48,46869.0,44423.0,46170.2,1562.693406
2021-09-09,46173.21,47395.22,45630.0,46577.05,1360.36124
2021-09-10,46563.07,46753.56,44129.75,45308.72,1407.648332
2021-09-11,45306.08,45998.0,44750.0,45345.58,702.8172
2021-09-12,45349.24,46465.51,44491.52,44728.45,1102.391708
2021-09-13,44720.64,46902.02,43439.74,45105.71,1841.564714
2021-09-14,45098.64,47491.92,45060.48,46880.87,1300.613105
2021-09-15,46882.16,48500.0,46711.02,48304.94,1057.020893
2021-09-16,48302.43,48502.76,47023.27,48098.98,839.723717
2021-09-17,48088.39,48343.57,46750.0,48337.13,1210.549541
2021-09-18,48337.13,48820.08,47603.01,47861.08,1035.118777
2021-09-19,47849.09,48343.12,45156.84,45660.89,1284.04755
2021-09-20,45650.97,45838.04,40121.0,42417.16,4513.037096
2021-09-21,42422.87,43636.36,39587.55,41903.07,2372.735725
2021-09-22,41906.25,44311.0,41840.82,44062.74,1359.502874
2021-09-23,44053.15,45020.0,43391.77,44291.33,1915.934455
2021-09-24,44280.24,45169.49,40716.77,42723.34,1971.201723
2021-09-25,42726.6,42986.56,41668.63,42241.87,1307.455202
2021-09-26,42264.7,44370.51,40192.16,44025.85,1176.872245
2021-09-27,44025.85,44262.63,41959.94,42638.97,1193.949276
2021-09-28,42647.96,42732.05,40758.73,42261.0,1745.843361
2021-09-29,42253.43,43825.92,40886.31,43503.35,1145.716715
2021-09-30,43550.68,44114.34,42726.79,43628.74,1261.948895
2021-10-01,43626.8,48483.69,43526.85,47597.4,1644.304735
2021-10-02,47597.98,48356.54,47107.03,47910.16,638.63734
2021-10-03,47910.16,49242.66,47260.0,47777.43,736.988554
2021-10-04,47779.77,49789.81,46920.85,49179.24,1063.575576
2021-10-05,49179.24,51917.0,49149.03,51344.28,1195.2431
2021-10-06,51339.12,55777.52,50417.56,55090.3,2493.398404
2021-10-07,55084.71,55084.71,53391.37,53904.9,1365.922668
2021-10-08,53880.6,56101.49,53644.06,54697.44,1045.525108
2021-10-09,54697.44,56000.0,54115.77,55856.35,528.133516
2021-10-10,55874.96,56760.41,54366.76,56485.98,882.133359
2021-10-11,56487.3,57841.26,55866.31,56978.24,1012.993764
2021-10-12,56989.94,57687.0,53898.54,56088.46,1352.298727
2021-10-13,56083.65,58570.18,54221.08,57986.27,2050.990577
2021-10-14,58000.0,59734.99,56838.47,59604.0,1402.31208
2021-10-15,59604.0,62900.95,58752.94,61725.36,2350.213703
2021-10-16,61724.73,62352.09,60153.11,60905.72,943.492642
2021-10-17,60911.56,62558.17,58908.93,62373.62,1260.489432
2021-10-18,62361.72,62982.13,59858.58,62414.34,1707.638368
2021-10-19,62450.0,64490.61,61358.54,64052.14,1703.929069
2021-10-20,64050.55,66996.28,63517.23,65050.04,2148.165472
2021-10-21,65056.48,66650.04,8200.0,63057.9,2495.290764
2021-10-22,63072.8,63752.79,59930.21,61158.23,1589.794957
2021-10-23,61153.25,61742.15,59650.0,60999.26,708.094922
2021-10-24,60999.83,62229.26,59520.87,62037.36,996.098546
2021-10-25,62072.47,63706.11,61808.15,62455.03,854.653859
2021-10-26,62441.97,63132.63,59846.56,61198.88,1309.89957
2021-10-27,61203.35,61408.13,58063.95,58831.23,1962.644132
2021-10-28,58825.0,62495.18,57894.73,61539.53,2308.816414
2021-10-29,61500.0,62960.12,60367.19,61491.34,1265.73011
2021-10-30,61467.94,62423.0,60750.0,61440.6,942.464168
2021-10-31,61429.14,61782.93,59469.05,60538.0,1237.457521
2021-11-01,60548.78,62491.78,60307.43,61450.33,1202.695032
2021-11-02,61460.41,64303.94,61337.44,62838.48,1194.740238
2021-11-03,62815.07,63560.71,60122.59,62721.24,1112.221684
2021-11-04,62714.29,62782.04,60720.0,62131.68,908.858423
2021-11-05,62141.13,62637.26,60778.01,61250.54,747.11607
2021-11-06,61250.55,62369.52,60112.06,62220.35,672.863854
2021-11-07,62231.91,65673.82,61529.41,65480.08,901.594778
2021-11-08,65496.49,68577.46,65209.73,68145.33,1260.7241
2021-11-09,68144.05,68278.89,66251.04,66350.0,876.734204
2021-11-10,66348.47,69025.05,62682.78,64709.62,1966.168103
2021-11-11,64701.6,65609.51,64070.99,64696.45,766.815788
2021-11-12,64696.64,65005.2,62276.67,63613.42,1102.928467
2021-11-13,63621.01,65322.86,63380.62,64897.16,424.569533
2021-11-14,64917.21,66201.31,63590.7,65719.39,678.382118
2021-11-15,65716.1,66355.15,60385.22,60959.04,1363.10351
2021-11-16,60955.2,61406.07,58585.49,59643.61,1682.873591
2021-11-17,59627.0,60988.03,58395.0,59831.5,861.384621
2021-11-18,59821.99,60063.01,55629.07,56437.4,2237.47419
2021-11-19,56445.36,59035.37,55900.01,58456.25,964.751214
2021-11-20,58451.21,59889.0,57415.64,59059.7,586.33964
2021-11-21,59064.43,60082.66,56821.88,57501.95,841.328031
2021-11-22,57501.37,59495.7,55647.32,56565.05,1188.033009
2021-11-23,56577.47,57879.45,55394.56,56615.47,1296.077064
2021-11-24,56621.38,58291.04,55874.26,57148.7,831.128332
2021-11-25,57145.44,59443.07,57116.04,57883.14,805.637875
2021-11-26,57873.03,57952.33,53521.0,54300.53,1583.618096
2021-11-27,54294.62,55312.53,53724.44,54428.0,606.542081
